X--Trace 1::[V(vo)],Y--Trace 1::[V(vo)],V_o (ideal),Delta V,Error_input,Error_output,,
0.01,1.00934137,1,0.00934137,0.934137%,0.934137%,Max Error Input,0.97730%
0.0102,1.029541192,1.02,0.009541192,0.935411%,0.935411%,Min Error Input,0.93414%
0.0104,1.049741013,1.04,0.009741013,0.936636%,0.936636%,,
0.0106,1.069940834,1.06,0.009940834,0.937815%,0.937815%,Max Error Output,0.97730%
0.0108,1.090140655,1.08,0.010140655,0.938950%,0.938950%,Min Error Output,0.93414%
0.011,1.110340477,1.1,0.010340477,0.940043%,0.940043%,,
0.0112,1.130540298,1.12,0.010540298,0.941098%,0.941098%,MAX Delta V,0.029123677
0.0114,1.150740119,1.14,0.010740119,0.942116%,0.942116%,MIN Delta V,0.00934137
0.0116,1.170939941,1.16,0.010939941,0.943098%,0.943098%,,
0.0118,1.191139762,1.18,0.011139762,0.944048%,0.944048%,MAX V_o,3.009123677
0.012,1.211339583,1.2,0.011339583,0.944965%,0.944965%,MIN V_o,1.00934137
0.0122,1.231539404,1.22,0.011539404,0.945853%,0.945853%,,
0.0124,1.251739226,1.24,0.011739226,0.946712%,0.946712%,,
0.0126,1.271939047,1.26,0.011939047,0.947543%,0.947543%,,
0.0128,1.292138868,1.28,0.012138868,0.948349%,0.948349%,,
0.013,1.312338689,1.3,0.012338689,0.949130%,0.949130%,,
0.0132,1.332538511,1.32,0.012538511,0.949887%,0.949887%,,
0.0134,1.352738332,1.34,0.012738332,0.950622%,0.950622%,,
0.0136,1.372938153,1.36,0.012938153,0.951335%,0.951335%,,
0.0138,1.393137975,1.38,0.013137975,0.952027%,0.952027%,,
0.014,1.413337796,1.4,0.013337796,0.952700%,0.952700%,,
0.0142,1.433537617,1.42,0.013537617,0.953353%,0.953353%,,
0.0144,1.453737438,1.44,0.013737438,0.953989%,0.953989%,,
0.0146,1.47393726,1.46,0.01393726,0.954607%,0.954607%,,
0.0148,1.494137081,1.48,0.014137081,0.955208%,0.955208%,,
0.015,1.514336902,1.5,0.014336902,0.955793%,0.955793%,,
0.0152,1.534536724,1.52,0.014536724,0.956363%,0.956363%,,
0.0154,1.554736545,1.54,0.014736545,0.956918%,0.956918%,,
0.0156,1.574936366,1.56,0.014936366,0.957459%,0.957459%,,
0.0158,1.595136187,1.58,0.015136187,0.957987%,0.957987%,,
0.016,1.615336009,1.6,0.015336009,0.958501%,0.958501%,,
0.0162,1.63553583,1.62,0.01553583,0.959002%,0.959002%,,
0.0164,1.655735651,1.64,0.015735651,0.959491%,0.959491%,,
0.0166,1.675935473,1.66,0.015935473,0.959968%,0.959968%,,
0.0168,1.696135294,1.68,0.016135294,0.960434%,0.960434%,,
0.017,1.716335115,1.7,0.016335115,0.960889%,0.960889%,,
0.0172,1.736534936,1.72,0.016534936,0.961334%,0.961334%,,
0.0174,1.756734758,1.74,0.016734758,0.961768%,0.961768%,,
0.0176,1.776934579,1.76,0.016934579,0.962192%,0.962192%,,
0.0178,1.7971344,1.78,0.0171344,0.962607%,0.962607%,,
0.018,1.817334221,1.8,0.017334221,0.963012%,0.963012%,,
0.0182,1.837534043,1.82,0.017534043,0.963409%,0.963409%,,
0.0184,1.857733864,1.84,0.017733864,0.963797%,0.963797%,,
0.0186,1.877933685,1.86,0.017933685,0.964177%,0.964177%,,
0.0188,1.898133507,1.88,0.018133507,0.964548%,0.964548%,,
0.019,1.918333328,1.9,0.018333328,0.964912%,0.964912%,,
0.0192,1.938533149,1.92,0.018533149,0.965268%,0.965268%,,
0.0194,1.95873297,1.94,0.01873297,0.965617%,0.965617%,,
0.0196,1.978932792,1.96,0.018932792,0.965959%,0.965959%,,
0.0198,1.999132613,1.98,0.019132613,0.966294%,0.966294%,,
0.02,2.019332434,2,0.019332434,0.966622%,0.966622%,,
0.0202,2.039532256,2.02,0.019532256,0.966943%,0.966943%,,
0.0204,2.059732077,2.04,0.019732077,0.967259%,0.967259%,,
0.0206,2.079931898,2.06,0.019931898,0.967568%,0.967568%,,
0.0208,2.100131719,2.08,0.020131719,0.967871%,0.967871%,,
0.021,2.120331541,2.1,0.020331541,0.968169%,0.968169%,,
0.0212,2.140531362,2.12,0.020531362,0.968460%,0.968460%,,
0.0214,2.160731183,2.14,0.020731183,0.968747%,0.968747%,,
0.0216,2.180931005,2.16,0.020931005,0.969028%,0.969028%,,
0.0218,2.201130826,2.18,0.021130826,0.969304%,0.969304%,,
0.022,2.221330647,2.2,0.021330647,0.969575%,0.969575%,,
0.0222,2.241530468,2.22,0.021530468,0.969841%,0.969841%,,
0.0224,2.26173029,2.24,0.02173029,0.970102%,0.970102%,,
0.0226,2.281930111,2.26,0.021930111,0.970359%,0.970359%,,
0.0228,2.302129932,2.28,0.022129932,0.970611%,0.970611%,,
0.023,2.322329753,2.3,0.022329753,0.970859%,0.970859%,,
0.0232,2.342529575,2.32,0.022529575,0.971102%,0.971102%,,
0.0234,2.362729396,2.34,0.022729396,0.971342%,0.971342%,,
0.0236,2.382929217,2.36,0.022929217,0.971577%,0.971577%,,
0.0238,2.403129039,2.38,0.023129039,0.971808%,0.971808%,,
0.024,2.42332886,2.4,0.02332886,0.972036%,0.972036%,,
0.0242,2.443528681,2.42,0.023528681,0.972260%,0.972260%,,
0.0244,2.463728502,2.44,0.023728502,0.972480%,0.972480%,,
0.0246,2.483928324,2.46,0.023928324,0.972696%,0.972696%,,
0.0248,2.504128145,2.48,0.024128145,0.972909%,0.972909%,,
0.025,2.524327966,2.5,0.024327966,0.973119%,0.973119%,,
0.0252,2.544527788,2.52,0.024527788,0.973325%,0.973325%,,
0.0254,2.564727609,2.54,0.024727609,0.973528%,0.973528%,,
0.0256,2.58492743,2.56,0.02492743,0.973728%,0.973728%,,
0.0258,2.605127251,2.58,0.025127251,0.973924%,0.973924%,,
0.026,2.625327073,2.6,0.025327073,0.974118%,0.974118%,,
0.0262,2.645526894,2.62,0.025526894,0.974309%,0.974309%,,
0.0264,2.665726715,2.64,0.025726715,0.974497%,0.974497%,,
0.0266,2.685926537,2.66,0.025926537,0.974682%,0.974682%,,
0.0268,2.706126358,2.68,0.026126358,0.974864%,0.974864%,,
0.027,2.726326179,2.7,0.026326179,0.975044%,0.975044%,,
0.0272,2.746526,2.72,0.026526,0.975221%,0.975221%,,
0.0274,2.766725822,2.74,0.026725822,0.975395%,0.975395%,,
0.0276,2.786925643,2.76,0.026925643,0.975567%,0.975567%,,
0.0278,2.807125464,2.78,0.027125464,0.975736%,0.975736%,,
0.028,2.827325285,2.8,0.027325285,0.975903%,0.975903%,,
0.0282,2.847525107,2.82,0.027525107,0.976068%,0.976068%,,
0.0284,2.867724928,2.84,0.027724928,0.976230%,0.976230%,,
0.0286,2.887924749,2.86,0.027924749,0.976390%,0.976390%,,
0.0288,2.908124571,2.88,0.028124571,0.976548%,0.976548%,,
0.029,2.928324392,2.9,0.028324392,0.976703%,0.976703%,,
0.0292,2.948524213,2.92,0.028524213,0.976857%,0.976857%,,
0.0294,2.968724034,2.94,0.028724034,0.977008%,0.977008%,,
0.0296,2.988923856,2.96,0.028923856,0.977157%,0.977157%,,
0.0298,3.009123677,2.98,0.029123677,0.977305%,0.977305%,,
