X--Trace 1::[V(vi)],Y--Trace 1::[V(vi)],,X--Trace 2::[V(vo)],Y--Trace 2::[V(vo)],,,,
0.01,0.01,,0.01,1.00032,,0.000320,MAX,0.00032
0.01002,0.01002,,0.01002,1.00232,,0.000320,MIN,0.00026
0.01004,0.01004,,0.01004,1.00432,,0.000320,,
0.01006,0.01006,,0.01006,1.00632,,0.000320,,
0.01008,0.01008,,0.01008,1.00832,,0.000320,,
0.0101,0.0101,,0.0101,1.01032,,0.000320,,
0.01012,0.01012,,0.01012,1.01232,,0.000320,,
0.01014,0.01014,,0.01014,1.01432,,0.000320,,
0.01016,0.01016,,0.01016,1.01632,,0.000320,,
0.01018,0.01018,,0.01018,1.01832,,0.000320,,
0.0102,0.0102,,0.0102,1.02032,,0.000320,,
0.01022,0.01022,,0.01022,1.02232,,0.000320,,
0.01024,0.01024,,0.01024,1.02432,,0.000320,,
0.01026,0.01026,,0.01026,1.02632,,0.000320,,
0.01028,0.01028,,0.01028,1.02832,,0.000320,,
0.0103,0.0103,,0.0103,1.03032,,0.000320,,
0.01032,0.01032,,0.01032,1.03232,,0.000320,,
0.01034,0.01034,,0.01034,1.03432,,0.000320,,
0.01036,0.01036,,0.01036,1.03632,,0.000320,,
0.01038,0.01038,,0.01038,1.03832,,0.000320,,
0.0104,0.0104,,0.0104,1.04032,,0.000320,,
0.01042,0.01042,,0.01042,1.04232,,0.000320,,
0.01044,0.01044,,0.01044,1.04432,,0.000320,,
0.01046,0.01046,,0.01046,1.04632,,0.000320,,
0.01048,0.01048,,0.01048,1.04832,,0.000320,,
0.0105,0.0105,,0.0105,1.05032,,0.000320,,
0.01052,0.01052,,0.01052,1.05232,,0.000320,,
0.01054,0.01054,,0.01054,1.05432,,0.000320,,
0.01056,0.01056,,0.01056,1.05632,,0.000320,,
0.01058,0.01058,,0.01058,1.05831,,0.000310,,
0.0106,0.0106,,0.0106,1.06031,,0.000310,,
0.01062,0.01062,,0.01062,1.06231,,0.000310,,
0.01064,0.01064,,0.01064,1.06431,,0.000310,,
0.01066,0.01066,,0.01066,1.06631,,0.000310,,
0.01068,0.01068,,0.01068,1.06831,,0.000310,,
0.0107,0.0107,,0.0107,1.07031,,0.000310,,
0.01072,0.01072,,0.01072,1.07231,,0.000310,,
0.01074,0.01074,,0.01074,1.07431,,0.000310,,
0.01076,0.01076,,0.01076,1.07631,,0.000310,,
0.01078,0.01078,,0.01078,1.07831,,0.000310,,
0.0108,0.0108,,0.0108,1.08031,,0.000310,,
0.01082,0.01082,,0.01082,1.08231,,0.000310,,
0.01084,0.01084,,0.01084,1.08431,,0.000310,,
0.01086,0.01086,,0.01086,1.08631,,0.000310,,
0.01088,0.01088,,0.01088,1.08831,,0.000310,,
0.0109,0.0109,,0.0109,1.09031,,0.000310,,
0.01092,0.01092,,0.01092,1.09231,,0.000310,,
0.01094,0.01094,,0.01094,1.09431,,0.000310,,
0.01096,0.01096,,0.01096,1.09631,,0.000310,,
0.01098,0.01098,,0.01098,1.09831,,0.000310,,
0.011,0.011,,0.011,1.10031,,0.000310,,
0.01102,0.01102,,0.01102,1.10231,,0.000310,,
0.01104,0.01104,,0.01104,1.10431,,0.000310,,
0.01106,0.01106,,0.01106,1.10631,,0.000310,,
0.01108,0.01108,,0.01108,1.10831,,0.000310,,
0.0111,0.0111,,0.0111,1.11031,,0.000310,,
0.01112,0.01112,,0.01112,1.11231,,0.000310,,
0.01114,0.01114,,0.01114,1.11431,,0.000310,,
0.01116,0.01116,,0.01116,1.11631,,0.000310,,
0.01118,0.01118,,0.01118,1.11831,,0.000310,,
0.0112,0.0112,,0.0112,1.12031,,0.000310,,
0.01122,0.01122,,0.01122,1.12231,,0.000310,,
0.01124,0.01124,,0.01124,1.12431,,0.000310,,
0.01126,0.01126,,0.01126,1.12631,,0.000310,,
0.01128,0.01128,,0.01128,1.12831,,0.000310,,
0.0113,0.0113,,0.0113,1.13031,,0.000310,,
0.01132,0.01132,,0.01132,1.13231,,0.000310,,
0.01134,0.01134,,0.01134,1.13431,,0.000310,,
0.01136,0.01136,,0.01136,1.13631,,0.000310,,
0.01138,0.01138,,0.01138,1.13831,,0.000310,,
0.0114,0.0114,,0.0114,1.14031,,0.000310,,
0.01142,0.01142,,0.01142,1.14231,,0.000310,,
0.01144,0.01144,,0.01144,1.14431,,0.000310,,
0.01146,0.01146,,0.01146,1.14631,,0.000310,,
0.01148,0.01148,,0.01148,1.14831,,0.000310,,
0.0115,0.0115,,0.0115,1.15031,,0.000310,,
0.01152,0.01152,,0.01152,1.15231,,0.000310,,
0.01154,0.01154,,0.01154,1.15431,,0.000310,,
0.01156,0.01156,,0.01156,1.15631,,0.000310,,
0.01158,0.01158,,0.01158,1.15831,,0.000310,,
0.0116,0.0116,,0.0116,1.16031,,0.000310,,
0.01162,0.01162,,0.01162,1.16231,,0.000310,,
0.01164,0.01164,,0.01164,1.16431,,0.000310,,
0.01166,0.01166,,0.01166,1.16631,,0.000310,,
0.01168,0.01168,,0.01168,1.16831,,0.000310,,
0.0117,0.0117,,0.0117,1.17031,,0.000310,,
0.01172,0.01172,,0.01172,1.17231,,0.000310,,
0.01174,0.01174,,0.01174,1.17431,,0.000310,,
0.01176,0.01176,,0.01176,1.17631,,0.000310,,
0.01178,0.01178,,0.01178,1.17831,,0.000310,,
0.0118,0.0118,,0.0118,1.18031,,0.000310,,
0.01182,0.01182,,0.01182,1.18231,,0.000310,,
0.01184,0.01184,,0.01184,1.18431,,0.000310,,
0.01186,0.01186,,0.01186,1.18631,,0.000310,,
0.01188,0.01188,,0.01188,1.18831,,0.000310,,
0.0119,0.0119,,0.0119,1.19031,,0.000310,,
0.01192,0.01192,,0.01192,1.19231,,0.000310,,
0.01194,0.01194,,0.01194,1.19431,,0.000310,,
0.01196,0.01196,,0.01196,1.19631,,0.000310,,
0.01198,0.01198,,0.01198,1.19831,,0.000310,,
0.012,0.012,,0.012,1.20031,,0.000310,,
0.01202,0.01202,,0.01202,1.20231,,0.000310,,
0.01204,0.01204,,0.01204,1.20431,,0.000310,,
0.01206,0.01206,,0.01206,1.20631,,0.000310,,
0.01208,0.01208,,0.01208,1.20831,,0.000310,,
0.0121,0.0121,,0.0121,1.21031,,0.000310,,
0.01212,0.01212,,0.01212,1.21231,,0.000310,,
0.01214,0.01214,,0.01214,1.21431,,0.000310,,
0.01216,0.01216,,0.01216,1.21631,,0.000310,,
0.01218,0.01218,,0.01218,1.21831,,0.000310,,
0.0122,0.0122,,0.0122,1.22031,,0.000310,,
0.01222,0.01222,,0.01222,1.22231,,0.000310,,
0.01224,0.01224,,0.01224,1.22431,,0.000310,,
0.01226,0.01226,,0.01226,1.22631,,0.000310,,
0.01228,0.01228,,0.01228,1.22831,,0.000310,,
0.0123,0.0123,,0.0123,1.23031,,0.000310,,
0.01232,0.01232,,0.01232,1.23231,,0.000310,,
0.01234,0.01234,,0.01234,1.23431,,0.000310,,
0.01236,0.01236,,0.01236,1.23631,,0.000310,,
0.01238,0.01238,,0.01238,1.23831,,0.000310,,
0.0124,0.0124,,0.0124,1.24031,,0.000310,,
0.01242,0.01242,,0.01242,1.24231,,0.000310,,
0.01244,0.01244,,0.01244,1.24431,,0.000310,,
0.01246,0.01246,,0.01246,1.24631,,0.000310,,
0.01248,0.01248,,0.01248,1.24831,,0.000310,,
0.0125,0.0125,,0.0125,1.25031,,0.000310,,
0.01252,0.01252,,0.01252,1.25231,,0.000310,,
0.01254,0.01254,,0.01254,1.25431,,0.000310,,
0.01256,0.01256,,0.01256,1.25631,,0.000310,,
0.01258,0.01258,,0.01258,1.25831,,0.000310,,
0.0126,0.0126,,0.0126,1.26031,,0.000310,,
0.01262,0.01262,,0.01262,1.26231,,0.000310,,
0.01264,0.01264,,0.01264,1.26431,,0.000310,,
0.01266,0.01266,,0.01266,1.26631,,0.000310,,
0.01268,0.01268,,0.01268,1.26831,,0.000310,,
0.0127,0.0127,,0.0127,1.27031,,0.000310,,
0.01272,0.01272,,0.01272,1.27231,,0.000310,,
0.01274,0.01274,,0.01274,1.27431,,0.000310,,
0.01276,0.01276,,0.01276,1.27631,,0.000310,,
0.01278,0.01278,,0.01278,1.27831,,0.000310,,
0.0128,0.0128,,0.0128,1.28031,,0.000310,,
0.01282,0.01282,,0.01282,1.28231,,0.000310,,
0.01284,0.01284,,0.01284,1.28431,,0.000310,,
0.01286,0.01286,,0.01286,1.28631,,0.000310,,
0.01288,0.01288,,0.01288,1.28831,,0.000310,,
0.0129,0.0129,,0.0129,1.29031,,0.000310,,
0.01292,0.01292,,0.01292,1.29231,,0.000310,,
0.01294,0.01294,,0.01294,1.29431,,0.000310,,
0.01296,0.01296,,0.01296,1.29631,,0.000310,,
0.01298,0.01298,,0.01298,1.29831,,0.000310,,
0.013,0.013,,0.013,1.30031,,0.000310,,
0.01302,0.01302,,0.01302,1.30231,,0.000310,,
0.01304,0.01304,,0.01304,1.30431,,0.000310,,
0.01306,0.01306,,0.01306,1.30631,,0.000310,,
0.01308,0.01308,,0.01308,1.30831,,0.000310,,
0.0131,0.0131,,0.0131,1.31031,,0.000310,,
0.01312,0.01312,,0.01312,1.31231,,0.000310,,
0.01314,0.01314,,0.01314,1.31431,,0.000310,,
0.01316,0.01316,,0.01316,1.31631,,0.000310,,
0.01318,0.01318,,0.01318,1.31831,,0.000310,,
0.0132,0.0132,,0.0132,1.32031,,0.000310,,
0.01322,0.01322,,0.01322,1.32231,,0.000310,,
0.01324,0.01324,,0.01324,1.32431,,0.000310,,
0.01326,0.01326,,0.01326,1.32631,,0.000310,,
0.01328,0.01328,,0.01328,1.32831,,0.000310,,
0.0133,0.0133,,0.0133,1.33031,,0.000310,,
0.01332,0.01332,,0.01332,1.33231,,0.000310,,
0.01334,0.01334,,0.01334,1.33431,,0.000310,,
0.01336,0.01336,,0.01336,1.33631,,0.000310,,
0.01338,0.01338,,0.01338,1.33831,,0.000310,,
0.0134,0.0134,,0.0134,1.34031,,0.000310,,
0.01342,0.01342,,0.01342,1.34231,,0.000310,,
0.01344,0.01344,,0.01344,1.34431,,0.000310,,
0.01346,0.01346,,0.01346,1.34631,,0.000310,,
0.01348,0.01348,,0.01348,1.34831,,0.000310,,
0.0135,0.0135,,0.0135,1.35031,,0.000310,,
0.01352,0.01352,,0.01352,1.35231,,0.000310,,
0.01354,0.01354,,0.01354,1.35431,,0.000310,,
0.01356,0.01356,,0.01356,1.35631,,0.000310,,
0.01358,0.01358,,0.01358,1.35831,,0.000310,,
0.0136,0.0136,,0.0136,1.36031,,0.000310,,
0.01362,0.01362,,0.01362,1.36231,,0.000310,,
0.01364,0.01364,,0.01364,1.36431,,0.000310,,
0.01366,0.01366,,0.01366,1.36631,,0.000310,,
0.01368,0.01368,,0.01368,1.36831,,0.000310,,
0.0137,0.0137,,0.0137,1.37031,,0.000310,,
0.01372,0.01372,,0.01372,1.37231,,0.000310,,
0.01374,0.01374,,0.01374,1.37431,,0.000310,,
0.01376,0.01376,,0.01376,1.37631,,0.000310,,
0.01378,0.01378,,0.01378,1.37831,,0.000310,,
0.0138,0.0138,,0.0138,1.38031,,0.000310,,
0.01382,0.01382,,0.01382,1.38231,,0.000310,,
0.01384,0.01384,,0.01384,1.38431,,0.000310,,
0.01386,0.01386,,0.01386,1.38631,,0.000310,,
0.01388,0.01388,,0.01388,1.38831,,0.000310,,
0.0139,0.0139,,0.0139,1.39031,,0.000310,,
0.01392,0.01392,,0.01392,1.39231,,0.000310,,
0.01394,0.01394,,0.01394,1.39431,,0.000310,,
0.01396,0.01396,,0.01396,1.39631,,0.000310,,
0.01398,0.01398,,0.01398,1.39831,,0.000310,,
0.014,0.014,,0.014,1.40031,,0.000310,,
0.01402,0.01402,,0.01402,1.40231,,0.000310,,
0.01404,0.01404,,0.01404,1.40431,,0.000310,,
0.01406,0.01406,,0.01406,1.40631,,0.000310,,
0.01408,0.01408,,0.01408,1.40831,,0.000310,,
0.0141,0.0141,,0.0141,1.4103,,0.000300,,
0.01412,0.01412,,0.01412,1.4123,,0.000300,,
0.01414,0.01414,,0.01414,1.4143,,0.000300,,
0.01416,0.01416,,0.01416,1.4163,,0.000300,,
0.01418,0.01418,,0.01418,1.4183,,0.000300,,
0.0142,0.0142,,0.0142,1.4203,,0.000300,,
0.01422,0.01422,,0.01422,1.4223,,0.000300,,
0.01424,0.01424,,0.01424,1.4243,,0.000300,,
0.01426,0.01426,,0.01426,1.4263,,0.000300,,
0.01428,0.01428,,0.01428,1.4283,,0.000300,,
0.0143,0.0143,,0.0143,1.4303,,0.000300,,
0.01432,0.01432,,0.01432,1.4323,,0.000300,,
0.01434,0.01434,,0.01434,1.4343,,0.000300,,
0.01436,0.01436,,0.01436,1.4363,,0.000300,,
0.01438,0.01438,,0.01438,1.4383,,0.000300,,
0.0144,0.0144,,0.0144,1.4403,,0.000300,,
0.01442,0.01442,,0.01442,1.4423,,0.000300,,
0.01444,0.01444,,0.01444,1.4443,,0.000300,,
0.01446,0.01446,,0.01446,1.4463,,0.000300,,
0.01448,0.01448,,0.01448,1.4483,,0.000300,,
0.0145,0.0145,,0.0145,1.4503,,0.000300,,
0.01452,0.01452,,0.01452,1.4523,,0.000300,,
0.01454,0.01454,,0.01454,1.4543,,0.000300,,
0.01456,0.01456,,0.01456,1.4563,,0.000300,,
0.01458,0.01458,,0.01458,1.4583,,0.000300,,
0.0146,0.0146,,0.0146,1.4603,,0.000300,,
0.01462,0.01462,,0.01462,1.4623,,0.000300,,
0.01464,0.01464,,0.01464,1.4643,,0.000300,,
0.01466,0.01466,,0.01466,1.4663,,0.000300,,
0.01468,0.01468,,0.01468,1.4683,,0.000300,,
0.0147,0.0147,,0.0147,1.4703,,0.000300,,
0.01472,0.01472,,0.01472,1.4723,,0.000300,,
0.01474,0.01474,,0.01474,1.4743,,0.000300,,
0.01476,0.01476,,0.01476,1.4763,,0.000300,,
0.01478,0.01478,,0.01478,1.4783,,0.000300,,
0.0148,0.0148,,0.0148,1.4803,,0.000300,,
0.01482,0.01482,,0.01482,1.4823,,0.000300,,
0.01484,0.01484,,0.01484,1.4843,,0.000300,,
0.01486,0.01486,,0.01486,1.4863,,0.000300,,
